,brand,price,originalpr,colour,shoetype,bargain
79,Even&Odd,43.99,43.99,black,sandals,0.0
80,Esprit,33.99,49.99,off white,trainers,16.0
81,Anna Field,59.49,69.99,taupe,slip-ons,10.499999999999993
82,Anna Field,24.99,24.99,off-white,espadrilles,0.0
83,Anna Field,33.99,39.99,rose/gold,sandals,6.0
84,Freyling,29.99,129.99,schwarz,boots,100.00000000000001
85,Anna Field,47.99,59.99,light pink,heels,12.0
86,Nike Sportswear,83.95,119.95,white/sail/opti yellow,trainers,36.0
87,British Knights,69.95,69.95,burgundy,boots,0.0
88,Bershka,59.99,59.99,black,boots,0.0
89,Anna Field,33.99,39.99,light pink,sandals,6.0
90,Inselhauptstadt,23.99,99.99,pink,trainers,76.0
91,Tamaris,49.95,49.95,silver glam,heels,0.0
92,Anna Field,21.09,34.99,beige,pumps,13.900000000000002
93,mtng,54.95,54.95,black ,sandals,0.0
94,Anna Field Wide Fit,69.99,69.99,beige,sandals,0.0
95,For Time,24.99,35.99,naranja,mules,11.000000000000004
96,Anna Field,29.99,29.99,gold,sandals,0.0
97,PULL&BEAR,25.99,25.99,gold coloured,sandals,0.0
98,Vans,75.95,94.95,black/true white,trainers,19.0
99,Koi Footwear,33.25,38.95,black,heels,5.700000000000003
100,Anna Field,18.79,24.99,pink,pumps,6.199999999999999
101,Tamaris,44.95,49.95,nut,pumps,5.0
102,CALANDO,19.55,22.95,white,pumps,3.3999999999999986
103,Anna Field,25.59,29.99,black,lace-ups,4.399999999999999
104,Jolana & Fenena,54.99,79.99,rosa,slip-ons,24.999999999999993
105,OYSHO,27.99,39.99,gold coloured,mules,12.000000000000004
106,Tamaris,41.95,59.95,black,heels,18.0
107,Even&Odd Wide Fit,48.99,48.99,black,sandals,0.0
108,CALANDO,21.95,24.95,black ,boots,3.0
109,Birkenstock,79.95,79.95,gold,slippers,0.0
110,Anna Field,30.99,34.99,dark blue,slip-ons,4.0000000000000036
111,Anna Field,44.99,49.99,beige,trainers,5.0
112,Anna Field,50.99,59.99,black,heels,9.0
113,Tamaris,48.95,69.95,taupe,pumps,21.0
114,Puma,42.95,69.99,white/rose gold,trainers,27.039999999999992
115,Even&Odd,26.99,26.99,white,trainers,0.0
116,Even&Odd,33.99,39.99,black,sandals,6.0
117,Anna Field,39.99,39.99,beige,sandals,0.0
118,Reebok Classic,99.95,99.95,chalk/varsity green,trainers,0.0
119,Anna Field Wide Fit,26.99,54.99,white,pumps,28.000000000000004
120,ONLY SHOES,24.99,49.99,beige,wellies,25.000000000000004
121,adidas Originals,44.95,44.95,black/white,mules,0.0
122,Vagabond,131.95,154.95,black,slip-ons,23.0
123,Vans,58.95,69.95,black,trainers,11.0
124,Anna Field,27.99,27.99,black ,sandals,0.0
125,Bershka,35.99,35.99,gold coloured,sandals,0.0
126,Jordan,139.95,139.95,action grape/sky/light purple,trainers,0.0
127,Anna Field,34.99,34.99,gold,heels,0.0
128,Copenhagen,169.95,169.95,white,trainers,0.0
129,Tamaris,44.95,49.95,ivory,heels,5.0
130,Converse,84.95,84.95,black/garnet/white,trainers,0.0
131,PULL&BEAR,39.99,39.99,black,moccasins,0.0
132,New Balance,119.95,119.95,silver moss ,trainers,0.0
133,adidas Originals,98.95,109.95,grey two/footwear white/silver dawn,trainers,11.0
134,Gabor,99.85,99.85,beige,heels,0.0
135,Philip Hog,59.0,99.0,tan,mules,40.0
136,On Running,149.9,149.9,frost,trainers,0.0
137,Hummel,64.95,64.95,white/rose dust,trainers,0.0
138,Clarks,52.45,74.95,black,pumps,22.5
139,Anna Field,50.99,59.99,silver,mixed,9.0
140,Anna Field Wide Fit,46.99,54.99,beige,pumps,8.0
141,Bershka,18.19,25.99,sand,trainers,7.799999999999997
142,Candice Cooper,159.95,199.95,panna/sandy,trainers,40.0
143,Musk,59.99,129.99,brown,sandals,70.0
144,Tamaris,59.95,59.95,powder,heels,0.0
145,Anna Field,33.99,39.99,black,heels,6.0
146,Marc O'Polo,62.95,89.95,sand,slip-ons,27.0
147,Massimo Dutti,99.95,99.95,black,slip-ons,0.0
148,Birkenstock,44.95,44.95,white,slides,0.0
149,Birkenstock,69.95,69.95,schwarz,mules,0.0
150,New Balance,98.95,109.95,nimbus cloud,trainers,11.0
151,Anna Field,26.99,29.99,white,slip-ons,3.0
152,ALOHAS,156.95,174.95,sand,sandals,18.0
153,adidas Originals,119.95,119.95,footwear white clay crystal white,trainers,0.0
154,Stradivarius,25.99,25.99,black,trainers,0.0
155,Stradivarius,25.99,25.99,blue denim,pumps,0.0
156,Stradivarius,19.99,19.99,black,heels,0.0
157,New Look Wide Fit,39.99,39.99,black,slip-ons,0.0
158,Anna Field,24.09,29.99,off-white,espadrilles,5.899999999999999
159,Bershka,12.59,17.99,off white,mules,5.399999999999999
160,New Balance,76.95,109.95,grey,trainers,33.0
161,New Look,49.99,49.99,silver,heels,0.0
162,Pier One,29.99,29.99,white,trainers,0.0
163,Stradivarius,29.99,29.99,black,sandals,0.0
164,Where’s That From,44.99,44.99,navy satin,sandals,0.0
165,Reebok Classic,119.95,119.95,chalk/alabaster/glen green,trainers,0.0
166,Tamaris,50.95,59.95,black matt,slip-ons,9.0
167,Anna Field Wide Fit,24.59,34.99,light pink,pumps,10.400000000000002
168,Anna Field,29.99,59.99,beige,sandals,30.000000000000004
169,Ambellis,26.99,114.99,grün,espadrilles,88.0
170,Anna Field,25.59,29.99,black,sandals,4.399999999999999
171,Anna Field Wide Fit,22.99,22.99,cognac,sandals,0.0
172,New Look,49.99,49.99,black,heels,0.0
173,Pier One,17.59,24.99,dark grey,espadrilles,7.399999999999999
174,Tamaris,59.95,59.95,black,pumps,0.0
175,Reebok Classic,79.95,79.95,white/navy,trainers,0.0
176,Nike Sportswear,129.95,129.95,black/med ash/light silver/bright mandarin/summit white/white,trainers,0.0
177,Anna Field,25.59,29.99,black,pumps,4.399999999999999
178,Even&Odd,19.99,19.99,black,slides,0.0
179,Ambellis,23.99,99.99,taupe,espadrilles,76.0
180,Even&Odd,37.99,37.99,black ,sandals,0.0
181,Anna Field,24.59,34.99,black,espadrilles,10.400000000000002
182,Birkenstock,119.95,119.95,cognac,mules,0.0
183,Anna Field,20.09,24.99,white/light pink,trainers,4.899999999999999
184,Bosanova,35.99,39.99,arena,espadrilles,4.0
185,adidas Originals,87.95,109.95,victory blue/footwear white/legend ink,trainers,22.0
186,Anna Field,59.49,69.99,black,slip-ons,10.499999999999993
187,Pier One,29.99,29.99,white,trainers,0.0
188,Anna Field,21.29,24.99,beige,sandals,3.6999999999999993
189,British Knights,59.95,59.95,black black,trainers,0.0
190,Reebok Classic,99.95,99.95,chalk/classic maroon/pure grey 3,trainers,0.0
191,Anna Field,29.89,34.99,gold,espadrilles,5.100000000000001
192,Stradivarius,19.99,19.99,white,trainers,0.0
193,Anna Field,17.99,19.99,black,sandals,2.0
194,Anna Field,27.99,27.99, beige,espadrilles,0.0
195,Anna Field,50.99,59.99,beige,pumps,9.0
196,New Look,49.99,49.99,rose gold,heels,0.0
197,Rieker,59.95,59.95,schwarz,heels,0.0
198,Anna Field Wide Fit,26.39,34.99,off-white,pumps,8.600000000000001
199,Anna Field Wide Fit,29.99,59.99,taupe,slip-ons,30.000000000000004
200,PULL&BEAR,25.99,25.99,black,sandals,0.0
201,OYSHO,32.19,45.99,beige,mules,13.800000000000004
202,Anna Field,54.99,54.99,black,boots,0.0
203,Anna Field,44.99,59.99,silver,pumps,15.0
204,Anna Field,64.99,64.99,champagne,heels,0.0
205,Anna Field,35.19,49.99,dark blue,pumps,14.800000000000004
206,New Balance,92.95,109.95,grey ,trainers,17.0
207,New Look,39.99,39.99,black,slip-ons,0.0
208,Stradivarius,59.99,59.99,black,boots,0.0
209,Pepe Jeans,42.5,85.0,black,sandals,42.5
210,Puma,74.95,74.95,alpine snow- black-frosted ivory,trainers,0.0
211,Anna Field,29.99,29.99,white,sandals,0.0
212,Zign,43.99,43.99,black,lace-ups,0.0
213,Dr. Martens,146.95,209.95,black,mixed,63.0
214,Puma,67.95,99.95,white/harbor mist,trainers,32.0
215,Anna Field,21.29,24.99,rose gold,sandals,3.6999999999999993
216,Anna Field,29.89,34.99,cognac,sandals,5.100000000000001
217,Anna Field Wide Fit,28.09,34.99,black,pumps,6.900000000000002
218,Felmini,140.0,140.0,marvin lead grey,boots,0.0
219,New Balance,139.95,139.95,weiß/schwarz/off white,trainers,0.0
220,Bershka,69.99,69.99,blue,boots,0.0
221,Anna Field,19.99,39.99,dark blue,sandals,20.000000000000004
222,adidas Originals,109.95,109.95,conavy/white/goldmt,trainers,0.0
223,Anna Field,30.99,34.99,black,sandals,4.0000000000000036
224,Rubi Shoes by Cotton On,23.95,23.95,tobacco ,slippers,0.0
225,Anna Field,24.09,29.99,light pink,sandals,5.899999999999999
226,Anna Field,59.49,69.99,cognac,moccasins,10.499999999999993
227,OYSHO,12.59,17.99,purple,slides,5.399999999999999
228,Even&Odd Wide Fit,44.99,49.99,black,slip-ons,5.0
229,Tamaris,39.95,49.95,black,heels,10.0
230,Even&Odd,29.99,39.99,off white,sandals,10.000000000000004
231,ASICS SportStyle,66.95,74.95,white,trainers,8.0
232,Paez,49.9,49.9,black,espadrilles,0.0
233,Ambellis,33.99,149.99,pink,sandals,116.0
234,Nine West,39.99,99.99,black,heels,59.99999999999999
235,Anna Field,30.99,34.99,gold,heels,4.0000000000000036
236,New Look,49.99,49.99,black,sandals,0.0
237,Anna Field,40.19,49.99,black,pumps,9.800000000000004
238,Skechers Sport,69.95,69.95,white,trainers,0.0
239,Tamaris,49.95,49.95,black,sandals,0.0
240,Pier One,19.59,22.99,white - dark blue,espadrilles,3.3999999999999986
241,PULL&BEAR,29.99,29.99,black,sandals,0.0
242,Anna Field,16.99,19.99,light pink,sandals,3.0
243,adidas Originals,79.95,79.95,white white,trainers,0.0
244,Anna Field,29.99,39.99,grey,sandals,10.000000000000004
245,Tamaris,49.95,49.95,navy,heels,0.0
246,Pier One,26.39,34.99,black,trainers,8.600000000000001
247,British Knights,59.95,59.95,sage white,trainers,0.0
248,New Look Wide Fit,44.99,44.99,black,slip-ons,0.0
249,Pier One,53.99,59.99,white,heels,6.0
250,Ambellis,19.99,79.99,champagner,espadrilles,60.0
251,New Look Wide Fit,49.99,49.99,black,sandals,0.0
252,adidas Originals,101.95,119.95,off white/core white/halo blush,trainers,18.0
253,Tamaris,69.95,69.95,green croco,heels,0.0
254,Anna Field,29.99,29.99,dark blue,wellies,0.0
255,Anna Field,25.59,29.99,black,lace-ups,4.399999999999999
256,Mango,29.99,39.99,weiß,heels,10.000000000000004
257,Jolana & Fenena,59.99,129.99,schwarz,boots,70.0
258,Tamaris,53.95,59.95,black comb,heels,6.0
259,Vans,75.95,94.95,true white,trainers,19.0
260,CHARLES FOOTWEAR,51.99,64.99,brąz,mules,12.999999999999993
261,Anna Field,35.99,39.99,black ,sandals,4.0
262,Anna Field,44.99,44.99,cognac,sandals,0.0
263,Anna Field,22.89,34.99,black,pumps,12.100000000000001
264,Birkenstock,129.95,129.95,high shine ecru,mules,0.0
265,Drudd Italia,49.0,89.0,white,trainers,40.0
266,Anna Field,24.09,29.99,gold,espadrilles,5.899999999999999
267,Even&Odd,44.19,54.99,black,heels,10.800000000000004
268,Esprit,39.99,59.99,off white,trainers,20.0
269,Anna Field,59.49,69.99,light pink,mixed,10.499999999999993
270,adidas Originals,37.95,44.95,orchid fusion   cloud white   orchid fusion,slides,7.0
271,Anna Field,16.99,34.99,light pink,sandals,18.000000000000004
272,Anna Field,33.99,39.99,white,heels,6.0
273,Tamaris,47.9,59.95,old rose,pumps,12.050000000000004
274,Anna Field,48.99,64.99,gold,sandals,15.999999999999993
275,Esprit,46.99,69.99,black,sandals,22.999999999999993
276,Ambellis,23.99,99.99,braun,pumps,76.0
277,Massimo Dutti,99.95,99.95,black,slip-ons,0.0
278,Tommy Hilfiger,99.95,99.95,white,trainers,0.0
279,Anna Field,34.99,34.99,white,heels,0.0
280,New Look,19.99,39.99,black,sandals,20.000000000000004
281,New Look Wide Fit,49.99,49.99,black,sandals,0.0
282,Ambellis,40.99,182.99,schwarz,sandals,142.0
283,Hummel,26.95,54.95,white black,trainers,28.000000000000004
284,Nike Sportswear,69.95,69.95,white/white/white,trainers,0.0
285,adidas Originals,119.95,119.95,core white/earth strata/off white,trainers,0.0
286,Birkenstock,89.95,89.95,mocca,mules,0.0
287,Anna Field,29.89,34.99,black,sandals,5.100000000000001
288,Bershka,18.19,25.99,pink,trainers,7.799999999999997
289,New Look,49.99,49.99,black,sandals,0.0
290,Palado,39.95,74.95,black,mules,35.0
291,TOM TAILOR,32.18,49.99,navy,sandals,17.810000000000002
292,OYSHO,22.99,45.99,orange,mules,23.000000000000004
293,Anna Field,21.09,34.99,black,heels,13.900000000000002
294,Inselhauptstadt,18.99,89.99,blau/kombi,boots,71.0
295,Anna Field,17.99,19.99,black,sandals,2.0
296,Anna Field,30.99,34.99,gold,sandals,4.0000000000000036
297,Anna Field Wide Fit,31.99,39.99,light pink,sandals,8.000000000000004
298,South Beach,42.25,46.95,gold,sandals,4.700000000000003
299,New Look Wide Fit,31.49,44.99,yellow,sandals,13.500000000000004
300,VERBENAS,49.99,59.99,marino,espadrilles,10.0
301,CHARLES FOOTWEAR,49.0,99.0,light beige,boots,50.0
302,New Look,39.99,39.99,black,slip-ons,0.0
303,Nike Sportswear,99.95,99.95,white/rough green/summit white,trainers,0.0
304,Anna Field,29.99,29.99,yellow,wellies,0.0
305,Bershka,20.99,29.99,white,sandals,9.0
306,Anna Field,16.99,19.99,black,trainers,3.0
307,Esprit,59.99,79.99,light beige,slip-ons,19.999999999999993
308,Birkenstock,79.95,79.95,stone,sandals,0.0
309,Nike Sportswear,119.95,119.95,white/jade ice,trainers,0.0
310,New Look,24.99,29.99,black,pumps,5.0
311,Puma,59.95,59.95,white/navy/gold,trainers,0.0
312,Stradivarius,35.99,35.99,off white,sandals,0.0
313,Anna Field,26.99,29.99,gold,sandals,3.0
314,Birkenstock,79.95,79.95,gold,mules,0.0
315,Bagatt,71.95,89.95,cognac ,heels,18.0
316,Stradivarius,19.99,19.99,multi coloured,trainers,0.0
317,Even&Odd,39.39,48.99,transparent,sandals,9.600000000000001
318,Reebok Classic,79.95,79.95,white/green,trainers,0.0
319,adidas Originals,79.95,79.95,core black/footwear white,trainers,0.0
320,Anna Field,44.99,44.99,gold,sandals,0.0
321,Pepe Jeans,39.95,79.9,rust orange,sandals,39.95
322,Anna Field,34.99,34.99,black,sandals,0.0
323,Anna Field,34.99,34.99,cognac,slip-ons,0.0
324,Ambellis,30.99,132.99,braun,pumps,102.00000000000001
325,Call it Spring,54.95,54.95,ice,heels,0.0
326,New Balance,109.95,109.95,black iris,trainers,0.0
327,Nike Sportswear,159.95,159.95,black,trainers,0.0
328,adidas Originals,93.95,109.95,beige/footwear white/carbon,trainers,16.0
329,adidas Originals,33.85,44.95,core white/off white,mules,11.100000000000001
330,Paul Green,121.6,159.99,kalbleder schwarz,heels,38.390000000000015
331,Tamaris,49.95,49.95,black,sandals,0.0
332,Anna Field,26.39,34.99,light pink,sandals,8.600000000000001
333,Birkenstock,79.95,79.95,black,mules,0.0
334,New Look Wide Fit,49.99,49.99,black,sandals,0.0
335,Even&Odd,21.29,24.99,gold ,pumps,3.6999999999999993
336,Anna Field,38.39,44.99,black ,sandals,6.600000000000001
337,Nike Sportswear,90.95,129.95,photon dust/team red/summit white/muslin,trainers,38.999999999999986
338,Stradivarius,29.99,29.99,black,heels,0.0
339,Steve Madden,83.95,119.95,white,trainers,36.0
340,Anna Field,30.99,34.99,orange,heels,4.0000000000000036
341,Anna Field,38.39,44.99,cognac,sandals,6.600000000000001
342,Reebok Classic,76.0,95.0,footwear white/forest green,trainers,19.0
343,Stradivarius,29.99,29.99,orange,heels,0.0
344,Reebok Classic,80.95,89.95,white/light grey,trainers,9.0
345,Anna Field,23.89,27.99,black,sandals,4.099999999999998
346,Stradivarius,29.99,29.99,black,heels,0.0
347,adidas Originals,87.95,109.95,footwear white/core black/grey one,trainers,22.0
348,Cosmos Comfort,38.35,54.95,kastanie,sandals,16.6
349,TOM TAILOR,32.18,49.99,schwarz,sandals,17.810000000000002
350,Wojas,94.9,94.9,black,heels,0.0
351,Anna Field Wide Fit,16.99,34.99,black,slip-ons,18.000000000000004
352,POD,89.0,89.0,black,lace-ups,0.0
353,Anna Field,24.99,49.99,khaki,sandals,25.000000000000004
354,mtng,115.95,115.95,cuero taupe,boots,0.0
355,Lacoste,72.95,104.95,white,trainers,32.0
356,Tommy Hilfiger,71.43,109.9,black,pumps,38.47
357,OYSHO,27.99,39.99,brown,sandals,12.000000000000004
358,Anna Field,47.99,59.99,beige,heels,12.0
359,Marc O'Polo,69.95,99.95,sand,moccasins,30.0
360,Ambellis,33.99,149.99,schwarz,sandals,116.0
361,Anna Field,41.49,54.99,black,pumps,13.5
362,Paez,38.43,54.9,rust,espadrilles,16.47
363,Anna Field Wide Fit,51.99,64.99,white,sandals,12.999999999999993
364,Anna Field,79.99,79.99,black,boots,0.0
365,Anna Field,21.09,29.99,light blue,sandals,8.899999999999999
366,Pepe Jeans,46.75,85.0,powder/wine,trainers,38.25
367,Even&Odd,29.89,34.99,black ,espadrilles,5.100000000000001
368,Zign,39.99,79.99,beige,slip-ons,39.99999999999999
369,Polo Ralph Lauren,120.0,120.0,white/black ,trainers,0.0
370,New Look,35.99,39.99,black,sandals,4.0
371,Gabor,69.95,99.95,rouge,heels,30.0
372,Even&Odd Wide Fit,64.99,64.99,black,boots,0.0
373,Vagabond,59.95,129.95,black,slip-ons,69.99999999999999
374,Zign,50.99,59.99,silver,espadrilles,9.0
375,Crosby,24.99,39.99,grey,slip-ons,15.000000000000004
376,Skechers Wide Fit,44.95,59.95,blush ,trainers,15.0
377,Skechers,69.95,69.95,natural,trainers,0.0
378,New Look Wide Fit,39.99,49.99,black,sandals,10.0
379,New Look,31.49,34.99,off white,sandals,3.5000000000000036
380,Fila,45.45,64.95,white,trainers,19.5
381,Puma,50.95,59.95,black gold black,trainers,9.0
382,Zign,55.99,69.99,pink,heels,13.999999999999993
383,Nike Sportswear,89.95,119.95,summit white/metallic silver/sail white,trainers,30.0
384,Next,70.0,70.0,gold,mixed,0.0
385,Even&Odd,37.99,37.99,offwhite ,espadrilles,0.0
386,Anna Field,20.89,22.99,beige,pumps,2.099999999999998
387,Vans,49.99,70.0,black,trainers,20.009999999999998
388,PULL&BEAR,25.99,25.99,white,sandals,0.0
389,Anna Field,51.99,64.99,white,heels,12.999999999999993
390,OYSHO,11.49,22.99,beige,mixed,11.499999999999998
391,Anna Field,34.99,34.99,black,heels,0.0
392,Ambellis,24.99,104.99,cognac,sandals,80.0
393,New Look Tall,27.99,39.99,gold,sandals,12.000000000000004
394,Pepe Jeans,12.5,25.0,jetty,sandals,12.5
395,Marco Tozzi,29.95,49.95,black,heels,20.000000000000004
396,Reebok Classic,89.95,89.95,chalk/classic cobalt,trainers,0.0
397,Bershka,35.99,35.99,black,heels,0.0
398,New Look Wide Fit,39.99,39.99,off white,sandals,0.0
399,Anna Field,25.59,29.99,white ,heels,4.399999999999999
400,Carvela,45.0,115.0,black,sandals,70.0
401,Even&Odd Wide Fit,29.89,34.99,white,sandals,5.100000000000001
402,Hummel,38.2,44.95,white black,trainers,6.75
403,Tamaris,39.95,49.95,powder ,heels,10.0
404,Anna Field,59.99,59.99,beige ,sandals,0.0
405,Bershka,35.99,35.99,sand,trainers,0.0
406,PULL&BEAR,29.99,29.99,brown,sandals,0.0
407,Tamaris,49.95,49.95,ivory,heels,0.0
408,New Look Wide Fit,49.99,49.99,gold coloured,sandals,0.0
409,Even&Odd Wide Fit,44.99,44.99,light pink,sandals,0.0
410,Carvela,80.0,160.0,bone,trainers,80.0
411,Nike Sportswear,90.95,129.95,white,trainers,38.999999999999986
412,Bershka,39.99,39.99,"pink  off white
",trainers,0.0
413,Anna Field,21.99,24.99,black,slip-ons,3.0
414,Tamaris,44.95,59.95,black,sandals,15.0
415,OYSHO,12.59,17.99,neon orange,slides,5.399999999999999
416,Anna Field,20.09,24.99,black,sandals,4.899999999999999
417,Crosby,49.99,64.99,white,trainers,14.999999999999993
418,New Look,39.99,39.99,black,mules,0.0
419,Anna Field,27.99,39.99,light pink,sandals,12.000000000000004
420,Anna Field,33.99,39.99,taupe,slip-ons,6.0
421,adidas Originals,107.95,119.95,footwear white,trainers,12.0
422,Anna Field,33.99,39.99,cognac  ,pumps,6.0
423,New Look,39.99,39.99,black,slip-ons,0.0
424,Palado,44.95,69.95,beige,sandals,25.0
425,VERBENAS,55.1,59.95,black,espadrilles,4.850000000000001
426,New Look,24.49,34.99,off white,sandals,10.500000000000004
427,New Look Wide Fit,49.99,49.99,rose gold,sandals,0.0
428,PULL&BEAR,29.99,29.99,black,mules,0.0
429,New Look Wide Fit,31.49,44.99,silver,sandals,13.500000000000004
430,adidas Originals,109.95,109.95,footwear white/core black,trainers,0.0
431,Anna Field,39.99,39.99,cognac,boots,0.0
432,Tamaris,49.95,49.95,sand ,sandals,0.0
433,Tamaris,71.45,74.95,silver,heels,3.5
434,Anna Field,29.99,39.99,light yellow,sandals,10.000000000000004
435,Tamaris,34.95,49.95,blue,sandals,15.0
436,mtng,79.95,79.95,taupe,boots,0.0
437,Palado,34.95,69.95,cream,mules,35.0
438,Ambellis,29.99,129.99,schwarz,mules,100.00000000000001
439,New Look,39.99,44.99,black,sandals,5.0
440,Ambellis,29.99,129.99,taupe,mules,100.00000000000001
441,Anna Field,26.39,34.99,silver,sandals,8.600000000000001
442,Even&Odd,19.99,19.99,beige,slides,0.0
443,Pier One,19.99,39.99,grey,lace-ups,20.000000000000004
444,Birkenstock,79.95,79.95,gold,slippers,0.0
445,Bullboxer,47.96,59.95,black,sandals,11.990000000000002
446,Anna Field,29.89,34.99,cognac,espadrilles,5.100000000000001
447,Anna Field,59.99,59.99,black,boots,0.0
448,Anna Field,29.99,29.99,rose/white ,trainers,0.0
449,Stradivarius,35.99,35.99,black,slip-ons,0.0
450,Birkenstock,80.0,80.0,black,mules,0.0
451,Anna Field,19.99,39.99,grey,heels,20.000000000000004
452,Anna Field,27.99,27.99,black,mules,0.0
453,Zign,47.99,59.99,white,sandals,12.0
454,Vans,48.95,64.95,black,slip-ons,16.0
455,Skechers,49.95,64.95,schwarz,trainers,15.0
456,Bagatt,71.96,79.95,schwarz,sandals,7.990000000000009
457,adidas Originals,109.95,109.95,footwear white/dark green/grey four,trainers,0.0
458,Anna Field,28.09,34.99,black,sandals,6.900000000000002
459,Tommy Hilfiger,50.95,59.95,desert sky,espadrilles,9.0
460,Anna Field,35.99,39.99,black,slip-ons,4.0
461,Pier One,84.99,84.99,black,boots,0.0
462,Anna Field,35.99,39.99,white,boots,4.0
463,Anna Field,38.39,44.99,silver,pumps,6.600000000000001
